Название,Автор,Издательство,Цена (Новая),Цена (старая),Разница,Наличие
Пропавшее волшебство,Брандт Ина,Качели:Совиная магия,122,816,-85,На складе 
"""Азбука""",Непомнящий Леонид Михайлович,Детская литература:Веселые уроки,138,922,-85,На складе 
История с закорючками,Масленникова Евгения,Лабиринт:Детская художественная литература,79,528,-85,На складе 
Конармия,Бабель Исаак Эммануилович,Время:Проверено временем,72,480,-85,На складе 
